,TEAM,Name,Number,POS,Age,HT_in,WT_lb,College,Salary
304,SAS,Devonte' Graham,4,PG,27,73,195,Kansas,"$11,550,000"
305,SAS,Keldon Johnson,3,SF,23,77,220,Kentucky,"$3,873,025"
306,SAS,Stanley Johnson,34,SF,26,78,242,Arizona,"$1,245,164"
307,SAS,Tre Jones,33,PG,23,73,185,Duke,"$1,782,621"
308,SAS,Romeo Langford,35,SG,23,77,216,Indiana,"$5,634,257"
309,SAS,Doug McDermott,17,SF,31,78,225,Creighton,"$13,750,000"
310,SAS,Isaiah Roby,18,PF,25,80,230,Nebraska,"$1,782,621"
311,SAS,Jeremy Sochan,10,F,19,80,230,Baylor,"$5,063,520"
312,SAS,Devin Vassell,24,SG,22,77,200,Florida State,"$4,437,000"
313,SAS,Blake Wesley,14,G,19,76,185,Notre Dame,"$2,385,480"
314,DAL,Davis Bertans,44,SF,30,82,225,--,"$16,000,000"
315,DAL,Reggie Bullock,25,SF,31,78,205,North Carolina,"$10,012,800"
316,DAL,Luka Doncic,77,PG,23,79,230,--,"$37,095,000"
317,DAL,Josh Green,8,SG,22,77,200,Arizona,"$3,098,400"
318,DAL,Tim Hardaway Jr.,11,SF,30,77,205,Michigan,"$19,602,273"
319,DAL,Jaden Hardy,3,G,20,75,198,--,"$1,017,781"
320,DAL,Kyrie Irving,2,PG,30,74,195,Duke,"$38,917,057"
321,DAL,Maxi Kleber,42,PF,31,82,240,--,"$9,000,000"
322,DAL,A.J. Lawson,9,G,22,78,179,South Carolina,--
323,DAL,JaVale McGee,00,C,35,84,270,Nevada,"$5,461,219"
324,DAL,Markieff Morris,8,PF,33,81,245,Kansas,"$1,836,090"
325,DAL,Frank Ntilikina,21,PG,24,76,200,--,"$2,036,318"
326,DAL,Theo Pinson,1,G,27,78,212,North Carolina,"$1,836,090"
327,DAL,Dwight Powell,7,C,31,82,240,Stanford,"$11,080,125"
328,DAL,Chris Silva,30,F,26,80,234,South Carolina,--
329,DAL,Christian Wood,35,F,27,81,214,UNLV,"$14,317,460"
